Timestamp,Gender,Age,District,Occupation,Educational background,Marital status,Monthly income,Type of bank you use for your mobile banking application,Source to know about the mobile banking application,Duration of using the mobile banking application,The preferred way to use the mobile banking application,Use of mobile application,Average amount of money  transfer during a month using the mobile banking application,Average total amount of money transfer during a month by going to the bank or ATM,Willing to use the mobile banking application to perform transactions with other banks,Willing to use the mobile banking application to do large transactions,Satisfied with the security measurements in your mobile banking application,Satisfied with the service charges related to the mobile banking application,"Provide an overall rating to your mobile banking application( 1-worst, 5-best)",Which banks have better mobile banking applications
31/10/2020 22:40:39,Male,25 to 45,Gampaha,Private Sector,Degree,Married,More than 100000,Private,From a friend,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 1000 to 5000,Between 10000 to 50000,Yes,Yes,Yes,Yes,4,Not applicable
31/10/2020 22:40:59,Male,25 to 45,Matara,Private Sector,Degree,Single,Less than 20000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Between 5000 to 10000,Yes,Yes,Yes,Yes,5,Private banks
31/10/2020 22:42:00,Male,25 to 45,Matara,Private Sector,Degree,Single,More than 100000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance, Set up standing orders",Between 10000 to 50000,Less than 1000,Yes,Yes,Yes,Yes,4,Private banks
31/10/2020 22:43:35,Female,25 to 45,Matara,Student,Degree,Single,Not applicable,Private,From the bank,Less than 6 months,Browser,"Pay bills, Check bank balance",Between 1000 to 5000,Between 1000 to 5000,No,Yes,Yes,Neutral,4,Not applicable
31/10/2020 22:48:10,Male,25 to 45,Colombo,Student,Degree,Single,Not applicable,Public,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 1000 to 5000,Between 1000 to 5000,Yes,Yes,Yes,No,5,Government banks
31/10/2020 23:04:46,Female,25 to 45,Matara,Student,Degree,Single,Not applicable,Public,From the bank,Less than 6 months,Mobile app,Check bank balance,Between 5000 to 10000,Between 10000 to 50000,Yes,No,Yes,No,3,Private banks
31/10/2020 23:04:49,Female,25 to 45,Matara,Student,Degree,Single,Not applicable,Public,From the bank,Less than 6 months,Mobile app,"Pay bills, Transfer money to other accounts",Between 1000 to 5000,Between 1000 to 5000,Yes,Yes,Yes,No,3,Private banks
31/10/2020 23:06:27,Male,16 to 25,Galle,Private Sector,Degree,Single,More than 100000,Both,From the bank,More than 1 year,Browser,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Between 5000 to 10000,Yes,Yes,No,Neutral,3,Private banks
31/10/2020 23:41:32,Male,25 to 45,Matara,Private Sector,Diploma,Single,More than 100000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance, Set up standing orders",More than 50000,Less than 1000,Yes,Yes,Yes,Yes,4,Private banks
01/11/2020 00:21:42,Male,25 to 45,Matara,Private Sector,Degree,Single,Less than 20000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Between 5000 to 10000,Yes,Yes,Yes,Yes,5,Private banks
01/11/2020 01:00:47,Female,25 to 45,Kandy,Private Sector,Degree,Married,Between 20000 to 50000,Both,From a friend,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance",Between 5000 to 10000,Less than 1000,Yes,Yes,Yes,No,4,Private banks
01/11/2020 06:42:03,Female,25 to 45,Ampara,Student,Degree,Single,Not applicable,Public,From the bank,More than 1 year,Mobile app,Check bank balance,Less than 1000,Between 5000 to 10000,No,No,Yes,No,3,Not applicable
01/11/2020 09:21:15,Male,25 to 45,Matara,Private Sector,Degree,Single,More than 100000,Private,From a friend,Between 6 months to 1 year,Browser,"Pay bills, Transfer money to other accounts, Check bank balance",Between 10000 to 50000,Between 5000 to 10000,Yes,No,Yes,No,4,Not applicable
01/11/2020 09:41:53,Male,25 to 45,Matara,Private Sector,Degree,Single,More than 100000,Private,From the bank,More than 1 year,Mobile app,"Pay bills, Transfer money to other accounts, Check bank balance, Apply for loans, Set up standing orders",More than 50000,Between 10000 to 50000,Yes,Yes,Yes,Yes,5,Private banks
